source_id,source_category,source_name,url,families,use_in_plan,trust_caveat
S01,academic_paper,Moskowitz Ooi Pedersen Time Series Momentum,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID2089463_code753937.pdf?abstractid=2089463&mirid=1,"A,I",Idea source for time-series momentum and trend-following representatives.,Cross-asset evidence is not crypto implementation evidence.
S02,academic_paper,Cryptocurrency Momentum and Reversal,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3913263,"B,F,E",Idea source for crypto cross-sectional momentum and reversal families.,Reported research designs must be revalidated on local markets and costs.
S03,academic_paper,Intraday Return Predictability in Cryptocurrency Markets,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4080253,F,Idea source for intraday momentum/reversal family.,May require finer data than current 4h OHLCV.
S04,Quantpedia_style_summary,Quantpedia Momentum tag,https://quantpedia.com/strategy-tags/momentum/,"A,B,I",Reference taxonomy for momentum and trend strategy families.,Summaries are not a substitute for local validation.
S05,Quantpedia_style_summary,Quantpedia Cryptocurrencies tag,https://quantpedia.com/strategy-tags/cryptocurrencies/,"B,F,G,H,J","Reference taxonomy for crypto factors such as momentum, value, and carry.","Tag page is only a map of ideas, not an executable rule set."
S06,open_source_framework,Freqtrade strategy repository,https://github.com/freqtrade/freqtrade-strategies,"A,C,D,E,I,K,L",Open-source examples of indicator-driven crypto strategy patterns.,Do not copy strategies wholesale or trust backtest claims.
S07,open_source_framework_docs,Freqtrade Strategy Quickstart,https://www.freqtrade.io/en/stable/strategy-101/,"A,E,L",Reference for simple indicator strategy structure and reproducible templates.,"Framework examples are implementation patterns, not edge evidence."
S08,open_source_framework_docs,Jesse rule significance usage example,https://docs.jesse.trade/docs/research/rule-significance-testing/usage,"A,I,L",Reference for comparing signals against null/random baselines and avoiding false edge.,"Use as validation discipline, not as profitability evidence."
S09,open_source_framework,Jesse example strategies repository,https://github.com/jesse-ai/example-strategies,"A,E,I,L",Open-source strategy examples for candidate template inspiration.,Examples must be simplified and frozen before testing.
S10,TradingView_public_script_index,TradingView Donchian Channels scripts,https://www.tradingview.com/scripts/donchianchannels/,C,Public script ecosystem reference for Donchian breakout ideas only.,"Public scripts may contain lookahead, repainting, or tuned inputs."
S11,TradingView_public_script,Bollinger Bands + RSI Live Radar Strategy,https://www.tradingview.com/script/1s588fgS-Bollinger-Bands-RSI-Live-Radar-Strategy/,E,Public script idea reference for RSI/Bollinger mean-reversion family.,Do not copy code; reduce to simple frozen template.
S12,exchange_education,OKX perpetual funding fee mechanism,https://www.okx.com/en-us/help/perps-funding-fee-mechanism,"G,H",Public mechanism reference for funding-rate and perp concepts.,Mechanism explanation does not imply a trading edge.
S13,exchange_education,Binance Academy funding rates in crypto markets,https://academy.binance.com/hr-HR/articles/what-are-funding-rates-in-crypto-markets,"G,H",Public explanation of funding rates and funding direction.,Exchange education is not strategy validation.
S14,derivatives_education,Deribit cash and carry trades,https://insights.deribit.com/education/cash-and-carry-trades/,H,Idea source for basis / spot-futures spread concepts.,Plan-only unless spot/perp or dated-futures basis data is audited.
S15,academic_paper,Fundamentals of Perpetual Futures,https://arxiv.org/abs/2212.06888,"G,H",Research reference for perpetual pricing and basis/friction considerations.,Theoretical pricing does not authorize trading.
S16,academic_paper,Optimal Market-Neutral Multivariate Pair Trading on the Cryptocurrency Platform,https://www.mdpi.com/2227-7072/12/3/77,J,Idea source for pair/market-neutral relative value family.,"Requires shortability, hedge ratios, and cointegration validation."
S17,exchange_education,OKX introduction to trading bot mode,https://www.okx.com/en-us/help/introduction-to-trading-bot-mode,K,Reference for grid/range bot mechanics and risks.,Grid bot examples are not validation; strict drawdown caps required.
S18,academic_paper,Dynamic Grid Trading Strategy,https://arxiv.org/abs/2506.11921,K,Research idea source for dynamic grid/volatility harvesting.,First pass must avoid complex dynamic optimization.
S19,academic_paper,Machine learning for cryptocurrency market prediction and trading,https://www.sciencedirect.com/science/article/pii/S2405918822000174,L,Reference for ML classifiers and benchmark comparison needs.,ML claims require walk-forward validation and simple baselines.
S20,academic_paper,Reality check on trading rule performance in cryptocurrency market,https://www.sciencedirect.com/science/article/pii/S1544612320304414,ALL,Cautionary reference for data-snooping and market-friction controls.,"Use to justify strict gates, not to reject research categorically."
S21,strategy_education,Donchian Channels guide,https://tradersentiments.com/technical-analysis/donchian-channels,C,Public description of Donchian breakout mechanics.,Educational page only; freeze one simple rule.
S22,strategy_education,Volatility compression breakout guide,https://www.vaultcharts.com/strategies/volatility-compression-breakout,D,Idea source for BB width / ATR compression breakout template.,Defaults are not evidence; no threshold sweeps.
