family_id,family_name,source_category,source_title_or_label,source_url_or_reference,source_role,caveat,copied_performance_claim_used,notes
A,time_series_momentum_trend_following,academic_paper,Moskowitz Ooi Pedersen Time Series Momentum,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID2089463_code753937.pdf?abstractid=2089463&mirid=1,Idea source for simple time-series momentum and trend-following structure,Cross-asset evidence is not local crypto edge evidence,no,Use as taxonomy only; do not import claimed performance
A,time_series_momentum_trend_following,open_source_framework,Freqtrade strategy examples,https://github.com/freqtrade/freqtrade-strategies,Indicator-strategy pattern reference,"Examples may be tuned, incomplete, or stale",no,Reduce to one simple EMA/return template
B,cross_sectional_momentum_relative_strength,academic_paper,Cryptocurrency Momentum and Reversal,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3913263,Idea source for crypto relative strength and reversal families,"Needs local costs, markets, and out-of-sample testing",no,Ranking idea only; no online alpha assumption
B,cross_sectional_momentum_relative_strength,Quantpedia_style_summary,Quantpedia Momentum tag,https://quantpedia.com/strategy-tags/momentum/,Strategy taxonomy and simple momentum framing,Summary is not an executable rule or evidence,no,Use fixed ranking rule only
C,donchian_breakout,TradingView_public_script_index,TradingView Donchian Channels scripts,https://www.tradingview.com/scripts/donchianchannels/,Public reference for channel-breakout family,Public scripts may repaint or be optimized,no,"Use canonical Donchian windows, no copied script"
C,donchian_breakout,strategy_education,Donchian Channels guide,https://tradersentiments.com/technical-analysis/donchian-channels,Educational explanation of Donchian high/low channel mechanics,Educational content does not imply edge,no,Freeze one breakout/exit pair
D,volatility_contraction_breakout,strategy_education,Volatility compression breakout guide,https://www.vaultcharts.com/strategies/volatility-compression-breakout,Idea reference for squeeze/compression breakout,Threshold examples are not trusted as edge,no,Use simple Bollinger bandwidth compression and breakout
D,volatility_contraction_breakout,open_source_framework,Freqtrade strategy examples,https://github.com/freqtrade/freqtrade-strategies,Indicator-combination reference for volume and volatility filters,Examples are not copied or trusted,no,Use only as pattern inspiration
E,rsi_bollinger_mean_reversion,TradingView_public_script,Bollinger Bands + RSI Live Radar Strategy,https://www.tradingview.com/script/1s588fgS-Bollinger-Bands-RSI-Live-Radar-Strategy/,Idea reference for RSI plus Bollinger mean reversion,Do not copy code or claimed settings as proof,no,Simplify to one BB/RSI oversold rule distinct from Candidate D
E,rsi_bollinger_mean_reversion,open_source_framework_docs,Freqtrade Strategy Quickstart,https://www.freqtrade.io/en/stable/strategy-101/,Reference for simple indicator entry/exit structure,Framework examples are not evidence,no,Keep fixed stop/time exit
F,intraday_momentum_reversal,academic_paper,Intraday Return Predictability in Cryptocurrency Markets,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4080253,Idea source for intraday momentum/reversal effects,Current 4h dataset may be too coarse,no,Mark data-blocked until 1h/15m market-wide audit
G,funding_rate_carry_or_filter,exchange_education,OKX perpetual funding fee mechanism,https://www.okx.com/en-us/help/perps-funding-fee-mechanism,Mechanism source for funding payments and settlement timing,Mechanism is not an edge claim,no,Funding path remains fresh-definition-only after failed gate
G,funding_rate_carry_or_filter,academic_paper,Fundamentals of Perpetual Futures,https://arxiv.org/abs/2212.06888,Reference for perpetual pricing and funding/basis frictions,Theoretical context needs local validation,no,Do not revive failed funding-gated Candidate D
H,basis_perp_spot_spread,derivatives_education,Deribit cash and carry trades,https://insights.deribit.com/education/cash-and-carry-trades/,Idea source for spot/perp or futures basis carry,"Operational, borrow, transfer, and margin risks dominate",no,Plan-only until basis data and execution assumptions are audited
H,basis_perp_spot_spread,exchange_education,Binance Academy funding rates in crypto markets,https://academy.binance.com/hr-HR/articles/what-are-funding-rates-in-crypto-markets,General funding and perp education,Education page is not validation,no,Carry/basis needs separate data audit
I,regime_filtered_trend_strategy,academic_paper,Moskowitz Ooi Pedersen Time Series Momentum,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID2089463_code753937.pdf?abstractid=2089463&mirid=1,Trend-family reference for regime-aware trend gating,Prior local regime-filtered long-only path failed,no,New template must be compared to ungated trend candidate
I,regime_filtered_trend_strategy,open_source_framework_docs,Jesse rule significance usage example,https://docs.jesse.trade/docs/research/rule-significance-testing/usage,Validation discipline reference for signal significance,Not a strategy source or profitability claim,no,Use to justify strict comparison only
J,pairs_market_neutral_relative_value,academic_paper,Optimal Market-Neutral Multivariate Pair Trading on the Cryptocurrency Platform,https://www.mdpi.com/2227-7072/12/3/77,Idea source for crypto pairs/relative value,Pair selection and short costs create high overfit risk,no,"Plan-only until universe, shorts, costs, and cointegration rules are frozen"
K,volatility_harvesting_grid_like,exchange_education,OKX introduction to trading bot mode,https://www.okx.com/en-us/help/introduction-to-trading-bot-mode,Mechanics reference for grid/range bot concepts,Grid examples can hide tail risk and inventory risk,no,Strictly plan-only or simulation-only with hard loss cap
K,volatility_harvesting_grid_like,academic_paper,Dynamic Grid Trading Strategy,https://arxiv.org/abs/2506.11921,Research idea source for dynamic grid concepts,Dynamic optimization is excluded in first pass,no,No averaging-down implementation from this inventory
L,ml_classifier_baseline,academic_paper,Machine learning for cryptocurrency market prediction and trading,https://www.sciencedirect.com/science/article/pii/S2405918822000174,Idea source for ML classifier baseline and feature discipline,ML is especially vulnerable to leakage and overfit,no,Plan-only until walk-forward pipeline and leakage tests are defined
L,ml_classifier_baseline,academic_paper,Reality check on trading rule performance in cryptocurrency market,https://www.sciencedirect.com/science/article/pii/S1544612320304414,Cautionary source for data snooping and reality-check controls,"Use as caution, not as proof that trading cannot work",no,Supports strict gates and no-trade default
