source_name,evidence_type,evidence_reference,manual_summary,confidence,unresolved_questions,notes
OKX official historical/download/data products,documentation_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
OKX official historical/download/data products,pricing_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
OKX official historical/download/data products,data_dictionary_summary,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
OKX official historical/download/data products,license_archive_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
OKX official historical/download/data products,sample_availability_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
OKX official historical/download/data products,rate_limit_download_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
OKX official historical/download/data products,manual_reviewer_notes,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
OKX REST/docs beyond current route,documentation_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
OKX REST/docs beyond current route,pricing_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
OKX REST/docs beyond current route,data_dictionary_summary,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
OKX REST/docs beyond current route,license_archive_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
OKX REST/docs beyond current route,sample_availability_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
OKX REST/docs beyond current route,rate_limit_download_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
OKX REST/docs beyond current route,manual_reviewer_notes,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Tardis.dev,documentation_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Tardis.dev,pricing_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Tardis.dev,data_dictionary_summary,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Tardis.dev,license_archive_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Tardis.dev,sample_availability_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Tardis.dev,rate_limit_download_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Tardis.dev,manual_reviewer_notes,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Kaiko,documentation_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Kaiko,pricing_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Kaiko,data_dictionary_summary,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Kaiko,license_archive_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Kaiko,sample_availability_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Kaiko,rate_limit_download_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Kaiko,manual_reviewer_notes,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Amberdata,documentation_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Amberdata,pricing_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Amberdata,data_dictionary_summary,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Amberdata,license_archive_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Amberdata,sample_availability_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Amberdata,rate_limit_download_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Amberdata,manual_reviewer_notes,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
CoinAPI,documentation_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
CoinAPI,pricing_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
CoinAPI,data_dictionary_summary,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
CoinAPI,license_archive_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
CoinAPI,sample_availability_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
CoinAPI,rate_limit_download_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
CoinAPI,manual_reviewer_notes,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Coin Metrics,documentation_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Coin Metrics,pricing_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Coin Metrics,data_dictionary_summary,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Coin Metrics,license_archive_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Coin Metrics,sample_availability_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Coin Metrics,rate_limit_download_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Coin Metrics,manual_reviewer_notes,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
CryptoCompare,documentation_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
CryptoCompare,pricing_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
CryptoCompare,data_dictionary_summary,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
CryptoCompare,license_archive_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
CryptoCompare,sample_availability_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
CryptoCompare,rate_limit_download_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
CryptoCompare,manual_reviewer_notes,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Coinglass,documentation_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Coinglass,pricing_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Coinglass,data_dictionary_summary,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Coinglass,license_archive_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Coinglass,sample_availability_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Coinglass,rate_limit_download_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Coinglass,manual_reviewer_notes,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
VeloData,documentation_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
VeloData,pricing_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
VeloData,data_dictionary_summary,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
VeloData,license_archive_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
VeloData,sample_availability_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
VeloData,rate_limit_download_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
VeloData,manual_reviewer_notes,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Laevitas,documentation_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Laevitas,pricing_reference,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Laevitas,data_dictionary_summary,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Laevitas,license_archive_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Laevitas,sample_availability_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Laevitas,rate_limit_download_note,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
Laevitas,manual_reviewer_notes,unknown,unknown,unknown,unknown,Fill manually after docs/pricing review; do not auto-fill with unverified claims.
