market,okx_inst_id,funding_4h_alignment,funding_alignment_note,oi_4h_alignment,oi_alignment_note,no_future_leakage_rule,default_forward_fill_policy
AAVEUSDT,AAVE-USDT-SWAP,alignable_with_sparse_8h_events_no_forward_fill,Funding rows occur every 8h; intermediate 4h candles must remain missing unless a future fill policy is separately approved.,alignable_from_1h_to_4h_with_constraints,"Historical OI 1h data can be sampled/resampled to 4h, but ccxt/OKX history appears base-currency aggregate and exact instrument-specific historical units remain a limitation.",use only values timestamped at or before 4h candle close,forbidden_not_applied
ADAUSDT,ADA-USDT-SWAP,alignable_with_sparse_8h_events_no_forward_fill,Funding rows occur every 8h; intermediate 4h candles must remain missing unless a future fill policy is separately approved.,alignable_from_1h_to_4h_with_constraints,"Historical OI 1h data can be sampled/resampled to 4h, but ccxt/OKX history appears base-currency aggregate and exact instrument-specific historical units remain a limitation.",use only values timestamped at or before 4h candle close,forbidden_not_applied
ATOMUSDT,ATOM-USDT-SWAP,alignable_with_sparse_8h_events_no_forward_fill,Funding rows occur every 8h; intermediate 4h candles must remain missing unless a future fill policy is separately approved.,alignable_from_1h_to_4h_with_constraints,"Historical OI 1h data can be sampled/resampled to 4h, but ccxt/OKX history appears base-currency aggregate and exact instrument-specific historical units remain a limitation.",use only values timestamped at or before 4h candle close,forbidden_not_applied
AVAXUSDT,AVAX-USDT-SWAP,alignable_with_sparse_8h_events_no_forward_fill,Funding rows occur every 8h; intermediate 4h candles must remain missing unless a future fill policy is separately approved.,alignable_from_1h_to_4h_with_constraints,"Historical OI 1h data can be sampled/resampled to 4h, but ccxt/OKX history appears base-currency aggregate and exact instrument-specific historical units remain a limitation.",use only values timestamped at or before 4h candle close,forbidden_not_applied
BCHUSDT,BCH-USDT-SWAP,alignable_with_sparse_8h_events_no_forward_fill,Funding rows occur every 8h; intermediate 4h candles must remain missing unless a future fill policy is separately approved.,alignable_from_1h_to_4h_with_constraints,"Historical OI 1h data can be sampled/resampled to 4h, but ccxt/OKX history appears base-currency aggregate and exact instrument-specific historical units remain a limitation.",use only values timestamped at or before 4h candle close,forbidden_not_applied
BNBUSDT,BNB-USDT-SWAP,alignable_with_sparse_8h_events_no_forward_fill,Funding rows occur every 8h; intermediate 4h candles must remain missing unless a future fill policy is separately approved.,alignable_from_1h_to_4h_with_constraints,"Historical OI 1h data can be sampled/resampled to 4h, but ccxt/OKX history appears base-currency aggregate and exact instrument-specific historical units remain a limitation.",use only values timestamped at or before 4h candle close,forbidden_not_applied
BTCUSDT,BTC-USDT-SWAP,alignable_with_sparse_8h_events_no_forward_fill,Funding rows occur every 8h; intermediate 4h candles must remain missing unless a future fill policy is separately approved.,alignable_from_1h_to_4h_with_constraints,"Historical OI 1h data can be sampled/resampled to 4h, but ccxt/OKX history appears base-currency aggregate and exact instrument-specific historical units remain a limitation.",use only values timestamped at or before 4h candle close,forbidden_not_applied
DOGEUSDT,DOGE-USDT-SWAP,alignable_with_sparse_8h_events_no_forward_fill,Funding rows occur every 8h; intermediate 4h candles must remain missing unless a future fill policy is separately approved.,alignable_from_1h_to_4h_with_constraints,"Historical OI 1h data can be sampled/resampled to 4h, but ccxt/OKX history appears base-currency aggregate and exact instrument-specific historical units remain a limitation.",use only values timestamped at or before 4h candle close,forbidden_not_applied
DOTUSDT,DOT-USDT-SWAP,alignable_with_sparse_8h_events_no_forward_fill,Funding rows occur every 8h; intermediate 4h candles must remain missing unless a future fill policy is separately approved.,alignable_from_1h_to_4h_with_constraints,"Historical OI 1h data can be sampled/resampled to 4h, but ccxt/OKX history appears base-currency aggregate and exact instrument-specific historical units remain a limitation.",use only values timestamped at or before 4h candle close,forbidden_not_applied
ETCUSDT,ETC-USDT-SWAP,alignable_with_sparse_8h_events_no_forward_fill,Funding rows occur every 8h; intermediate 4h candles must remain missing unless a future fill policy is separately approved.,alignable_from_1h_to_4h_with_constraints,"Historical OI 1h data can be sampled/resampled to 4h, but ccxt/OKX history appears base-currency aggregate and exact instrument-specific historical units remain a limitation.",use only values timestamped at or before 4h candle close,forbidden_not_applied
ETHUSDT,ETH-USDT-SWAP,alignable_with_sparse_8h_events_no_forward_fill,Funding rows occur every 8h; intermediate 4h candles must remain missing unless a future fill policy is separately approved.,alignable_from_1h_to_4h_with_constraints,"Historical OI 1h data can be sampled/resampled to 4h, but ccxt/OKX history appears base-currency aggregate and exact instrument-specific historical units remain a limitation.",use only values timestamped at or before 4h candle close,forbidden_not_applied
FILUSDT,FIL-USDT-SWAP,alignable_with_sparse_8h_events_no_forward_fill,Funding rows occur every 8h; intermediate 4h candles must remain missing unless a future fill policy is separately approved.,alignable_from_1h_to_4h_with_constraints,"Historical OI 1h data can be sampled/resampled to 4h, but ccxt/OKX history appears base-currency aggregate and exact instrument-specific historical units remain a limitation.",use only values timestamped at or before 4h candle close,forbidden_not_applied
LINKUSDT,LINK-USDT-SWAP,alignable_with_sparse_8h_events_no_forward_fill,Funding rows occur every 8h; intermediate 4h candles must remain missing unless a future fill policy is separately approved.,alignable_from_1h_to_4h_with_constraints,"Historical OI 1h data can be sampled/resampled to 4h, but ccxt/OKX history appears base-currency aggregate and exact instrument-specific historical units remain a limitation.",use only values timestamped at or before 4h candle close,forbidden_not_applied
LTCUSDT,LTC-USDT-SWAP,alignable_with_sparse_8h_events_no_forward_fill,Funding rows occur every 8h; intermediate 4h candles must remain missing unless a future fill policy is separately approved.,alignable_from_1h_to_4h_with_constraints,"Historical OI 1h data can be sampled/resampled to 4h, but ccxt/OKX history appears base-currency aggregate and exact instrument-specific historical units remain a limitation.",use only values timestamped at or before 4h candle close,forbidden_not_applied
