file,line_number,code_snippet,comparison_type,runtime_price_side_variable,atr_distance_variable,likely_unit_mismatch,affected_strategy_path,risk_if_patched
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,61,"def _to_runtime_distance(self, unscaled_distance: float) -> float: return unscaled_distance * self.runtime_price_scale",existing helper,runtime_price_scale,unscaled_distance,no,helper available for runtime distance conversion,Low if reused; risk is inconsistent adoption if only some comparisons use it.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,82,risk = self._to_runtime_distance(float(self.data.atr[-1]) * self.stop_atr_mult),broker executable long entry SL/TP distance,entry_ref = self.data.Close[-1],self.data.atr[-1] * stop_atr_mult,no,Long1 broker-executable TP1 path,Do not double-scale; this path is already scale-aware.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,96,self.highest_since_entry = self.data.High[-1],runtime high state,self.data.High[-1],used later with atr trail distance,unclear,Long runtime trailing state,State itself should remain runtime scale; only later ATR distance should be unit-consistent.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,104,self.lowest_since_entry = self.data.Low[-1] ...,runtime low state,self.data.Low[-1],used later with atr trail distance,unclear,Short runtime trailing state,State itself should remain runtime scale; only later ATR distance should be unit-consistent.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,109,distance_scale = self.runtime_price_scale if self.use_broker_executable_long_tp1 else 1.0,long management scale switch,avg_entry / High / Close runtime prices,atr-derived risk distances,likely_when_false,Long1 management default path,Changing default scale behavior may alter Long1 trade management counts; needs before/after audit.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,110,risk = atr * self.stop_atr_mult * distance_scale,ATR risk distance,avg_entry runtime price,atr * stop_atr_mult * distance_scale,likely_when_distance_scale_1,Long stop/TP/trailing calculations,Could materially change Long1 exits and trade counts.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,111,tp1 = avg_entry + risk * self.tp1_rr,take-profit level,"avg_entry, self.data.High[-1]",risk * tp1_rr,likely_in_default_path,Long TP1 partial close,May activate previously unreachable TP1 behavior; verify baseline counts.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,112,tp2 = avg_entry + risk * self.tp2_rr,take-profit level,"avg_entry, self.data.High[-1]",risk * tp2_rr,likely_in_default_path,Long TP2 state,May alter tp2/trailing behavior.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,113,base_stop = avg_entry - risk,stop level,avg_entry / trade.sl runtime scale,risk,likely_in_default_path,Long stop assignment,Could change stop placement; requires stop-level sanity checks.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,115,tp1_floor = avg_entry + round_trip_fee_buffer + atr * self.breakeven_offset_atr * distance_scale,breakeven floor,avg_entry / runner_stop,atr * breakeven_offset_atr * distance_scale,likely_when_distance_scale_1,Long runner stop floor,Could change stop tightening after TP1.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,119,avg_entry + round_trip_fee_buffer + atr * self.long_tp1_profit_lock_atr * distance_scale,profit lock floor,avg_entry / runner_stop,atr * long_tp1_profit_lock_atr * distance_scale,likely_when_enabled_and_distance_scale_1,Optional Long TP1 profit lock,Only active if parameter > 0; verify optional path separately.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,127,elif not self.tp1_hit and self.data.High[-1] >= tp1:,runtime High vs TP1,self.data.High[-1],tp1 derived from ATR risk,likely_in_default_path,Long TP1 partial close trigger,Could significantly change Long1 management frequency.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,131,if not self.tp2_hit and self.data.High[-1] >= tp2:,runtime High vs TP2,self.data.High[-1],tp2 derived from ATR risk,likely_in_default_path,Long TP2 trigger,Could change trailing mode activation.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,137,self.highest_since_entry - atr * active_trail_mult * distance_scale,trailing stop level,highest_since_entry runtime High,atr * active_trail_mult * distance_scale,likely_when_distance_scale_1,Long trailing stop,Could alter long stop timing materially.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,143,tp2_floor = avg_entry + round_trip_fee_buffer + risk * self.long_tp2_profit_lock_rr,TP2 profit-lock floor,avg_entry / runner_stop,risk derived from ATR,inherits_risk_scale,Optional Long TP2 profit lock,Only active if parameter > 0; verify optional path separately.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,145,self.data.Close[-1] < self.data.ema50[-1],runtime Close vs unscaled EMA feature,self.data.Close[-1],ema50 unscaled indicator level,likely,Long trend_fail,May change trend-fail exits; broader indicator scaling policy needed.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,147,safe_long_stop = runner_stop if np.isfinite(runner_stop) and runner_stop > 0 else None,stop order level assignment,trade.sl expects runtime price level,runner_stop derived from ATR/EMA logic,likely_if_runner_stop_mixed,Long live stop assignment,Stop price scale must match broker runtime expectations.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,161,risk = atr * self.stop_atr_mult,short ATR risk distance,avg_entry runtime price,atr * stop_atr_mult,likely,Short1 management,Could materially change Short1 exits; Short1 closed research should not be reopened beyond validation.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,162,tp1 = avg_entry - risk * self.tp1_rr,short take-profit level,avg_entry / self.data.Low[-1],risk * tp1_rr,likely,Short TP1 partial close,Could change Short1 management outputs.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,163,tp2 = avg_entry - risk * self.tp2_rr,short take-profit level,avg_entry / self.data.Low[-1],risk * tp2_rr,likely,Short TP2 close,Could change Short1 exits.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,164,base_stop = avg_entry + risk,short stop level,avg_entry / trade.sl,risk,likely,Short stop assignment,Could change short stop behavior.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,165,break_even = avg_entry - atr * self.breakeven_offset_atr if self.tp1_hit else base_stop,short breakeven stop,avg_entry / runner_stop,atr * breakeven_offset_atr,likely,Short runner stop,Could alter short stop tightening.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,166,trail_raw = self.lowest_since_entry + atr * self.trail_atr_mult ...,short trailing stop,lowest_since_entry runtime Low,atr * trail_atr_mult,likely,Short trailing stop,Could alter short stop timing materially.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,168,self.data.Close[-1] > self.data.ema50[-1],runtime Close vs unscaled EMA feature,self.data.Close[-1],ema50 unscaled indicator level,likely,Short trend_fail,May change trend-fail exits; broader indicator scaling policy needed.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,174,trade.sl = runner_stop,short stop order level assignment,trade.sl expects runtime price level,runner_stop derived from ATR risk,likely_if_runner_stop_mixed,Short live stop assignment,Stop price scale must match broker runtime expectations.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,176,if (not self.tp1_hit) and self.data.Low[-1] <= tp1:,runtime Low vs short TP1,self.data.Low[-1],tp1 derived from ATR risk,likely,Short TP1 partial close,Could change Short1 management outputs.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,183,if self.data.Low[-1] <= tp2:,runtime Low vs short TP2,self.data.Low[-1],tp2 derived from ATR risk,likely,Short TP2 close,Could change Short1 exits.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,210,in_profit = self.data.Close[-1] > avg_entry + self.data.atr[-1] * self.add_on_profit_atr,Long2 add-on profit gate,"self.data.Close[-1], avg_entry",self.data.atr[-1] * add_on_profit_atr,yes_confirmed,Long2 execution gate,May allow Long2 trades; requires post-patch audit before performance claims.
D:\Bot\0412_Bot_short1_research_workspace\research\strategy.py,217,in_profit = self.data.Close[-1] < avg_entry - self.data.atr[-1] * self.add_on_profit_atr,Short2 add-on profit gate,"self.data.Close[-1], avg_entry",self.data.atr[-1] * add_on_profit_atr,likely_mirror,Short2 execution gate,May allow Short2 trades; validate separately and avoid reopening Short1 discovery.
