candidate_order,candidate,kind,hypothesis,addresses_prior_failure,different_from_failed_candidates,expected_risk,overfitting_risk,reason_it_may_fail
1,A_no_trade_control,control,Capital preservation control.,see note: fresh family addresses closed-chain failure context,fixed rules differ from failed Long1 derivative path,research risk only,controlled by no sweep/no tuning/later gate,Rule may lack edge or fail later/no-trade gates
2,B_passive_btc_buy_hold_benchmark,benchmark,Passive BTC opportunity-cost benchmark.,see note: fresh family addresses closed-chain failure context,fixed rules differ from failed Long1 derivative path,research risk only,controlled by no sweep/no tuning/later gate,Rule may lack edge or fail later/no-trade gates
3,C_volatility_compression_breakout_v2,active,Compressed volatility breakout.,see note: fresh family addresses closed-chain failure context,fixed rules differ from failed Long1 derivative path,research risk only,controlled by no sweep/no tuning/later gate,Rule may lack edge or fail later/no-trade gates
4,D_volatility_expansion_continuation,active,Volatility expansion continuation.,see note: fresh family addresses closed-chain failure context,fixed rules differ from failed Long1 derivative path,research risk only,controlled by no sweep/no tuning/later gate,Rule may lack edge or fail later/no-trade gates
5,E_true_mean_reversion_v2,active,"RSI2/Bollinger snapback, structurally distinct from Candidate D.",see note: fresh family addresses closed-chain failure context,fixed rules differ from failed Long1 derivative path,research risk only,controlled by no sweep/no tuning/later gate,Rule may lack edge or fail later/no-trade gates
6,F_relative_strength_rotation,active,Alt/BTC relative-strength rotation.,see note: fresh family addresses closed-chain failure context,fixed rules differ from failed Long1 derivative path,research risk only,controlled by no sweep/no tuning/later gate,Rule may lack edge or fail later/no-trade gates
7,G_btc_dominance_alt_filter,active,BTC dominance alt filter requiring nonlocal data.,see note: fresh family addresses closed-chain failure context,fixed rules differ from failed Long1 derivative path,research risk only,controlled by no sweep/no tuning/later gate,BTC dominance series is not available in local OHLCV and no fetch was approved.
8,H_market_family_framework_v2,active,Predeclared market-family framework.,see note: fresh family addresses closed-chain failure context,fixed rules differ from failed Long1 derivative path,research risk only,controlled by no sweep/no tuning/later gate,Rule may lack edge or fail later/no-trade gates
9,I_defensive_short_only,active,BTC/ETH defensive short-only.,see note: fresh family addresses closed-chain failure context,fixed rules differ from failed Long1 derivative path,research risk only,controlled by no sweep/no tuning/later gate,Rule may lack edge or fail later/no-trade gates
10,J_long_short_regime_switch,active,BTC EMA-regime long/short switch.,see note: fresh family addresses closed-chain failure context,fixed rules differ from failed Long1 derivative path,research risk only,controlled by no sweep/no tuning/later gate,Rule may lack edge or fail later/no-trade gates
11,K_liquidation_wick_bounce,active,OHLCV lower-wick capitulation bounce.,see note: fresh family addresses closed-chain failure context,fixed rules differ from failed Long1 derivative path,research risk only,controlled by no sweep/no tuning/later gate,Rule may lack edge or fail later/no-trade gates
12,L_breakout_failure_reversal,active,Short failed upside breakout.,see note: fresh family addresses closed-chain failure context,fixed rules differ from failed Long1 derivative path,research risk only,controlled by no sweep/no tuning/later gate,Rule may lack edge or fail later/no-trade gates
