file,line_number,code_snippet,variable_compared_to_runtime_Close,variable_unit,runtime_price_unit,mismatch_status,affected_path,notes
research/strategy.py,61-62,def _to_runtime_distance(...): return unscaled_distance * self.runtime_price_scale,none,unscaled distance input; runtime distance output,1e-8 under FractionalBacktest; 1.0 otherwise,safe,other,"Existing helper is correct for ATR-like distances, but its name is distance-specific; using it for ema50 price levels may be semantically risky."
research/strategy.py,145,self.data.Close[-1] < self.data.ema50[-1] and self.data.minus_di[-1] > self.data.plus_di[-1],self.data.ema50[-1],unscaled feature-space price level computed from raw close,"runtime Close, scaled by 1e-8 under FractionalBacktest",confirmed,long trend_fail,Current comparison can over-trigger long trend_fail because runtime Close is far below unscaled ema50.
research/strategy.py,154-155,if trend_fail: self.position.close(),trend_fail result from line 145,boolean result from mixed-unit expression,n/a,likely,long trend_fail,"Close action is not a unit comparison itself, but it is behaviorally affected when line 145 differs."
research/strategy.py,169,self.data.Close[-1] > self.data.ema50[-1] and self.data.plus_di[-1] > self.data.minus_di[-1],self.data.ema50[-1],unscaled feature-space price level computed from raw close,"runtime Close, scaled by 1e-8 under FractionalBacktest",confirmed,short trend_fail,Current comparison suppresses the price-component short trend_fail because runtime Close is far below unscaled ema50.
research/strategy.py,180-182,if trend_fail: self.position.close(); self.last_exit_bar = i,trend_fail result from line 169,boolean result from mixed-unit expression,n/a,likely,short trend_fail,"Close action is not a unit comparison itself, but it is behaviorally affected when line 169 differs."
research/strategy.py,211-212,add_on_profit_distance = self._to_runtime_distance(...); in_profit = self.data.Close[-1] > avg_entry + add_on_profit_distance,avg_entry + runtime-scaled ATR distance,runtime price level plus runtime distance,runtime Close,safe,other,Long2 add-on in_profit path was already patched by Option A and should not be changed by a trend_fail-only patch.
research/strategy.py,219-220,add_on_profit_distance = self._to_runtime_distance(...); in_profit = self.data.Close[-1] < avg_entry - add_on_profit_distance,avg_entry - runtime-scaled ATR distance,runtime price level minus runtime distance,runtime Close,safe,other,Short2 add-on in_profit path was already patched by Option A and should not be changed by a trend_fail-only patch.
research/strategy.py,"269,273","runtime_price_scale = (1 / 100e6) if bt_class is FractionalBacktest else 1.0; {""runtime_price_scale"": runtime_price_scale}",none,scale factor,defines runtime price scale,safe,other,Keep this unchanged; patch should reuse runtime_price_scale without changing backtest selection or config.
research/indicators.py,113,"frame[""ema50""] = ema(frame[""close""], params.exec_mid_length)",ema50 later used by trend_fail,unscaled feature-space price level,not runtime-scaled in indicator construction,safe,other,Do not change indicator construction; fix should happen only when strategy compares this feature to runtime Close.
research/indicators.py,184-198,"exec_bull/bear structure, slope, distance_atr using frame close/EMA values",none; feature-space close/EMA comparisons,unscaled feature space,n/a,safe,other,Signal construction occurs before FractionalBacktest runtime scaling and should remain unchanged.
research/indicators.py,224-232,pullback/resumption comparisons against ema20/ema50,none; feature-space close/high/low/EMA comparisons,unscaled feature space,n/a,safe,other,These are not runtime strategy comparisons and should not be included in a trend_fail patch.
