rank,symbol,rank_basis_note,add_long_signal_count,runtime_after_manage_long_add_signal_count,runtime_in_profit_add_signal_count,Long1_count,Long2_count,candidate_material_class,future_discovery_candidate_read
1,TRXUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",363,146,0,84,0,raw_add_long_high,strong_raw_material; first future parent should inspect in_profit gate failure
2,BNBUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",339,168,0,80,0,raw_add_long_high,strong_raw_material; first future parent should inspect in_profit gate failure
3,ETHUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",335,172,0,84,0,raw_add_long_high,strong_raw_material; first future parent should inspect in_profit gate failure
4,BTCUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",333,149,0,90,0,raw_add_long_high,strong_raw_material; first future parent should inspect in_profit gate failure
5,LINKUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",254,83,0,64,0,raw_add_long_high,strong_raw_material; first future parent should inspect in_profit gate failure
6,SOLUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",235,90,0,52,0,raw_add_long_high,strong_raw_material; first future parent should inspect in_profit gate failure
7,ADAUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",220,59,0,39,0,raw_add_long_high,strong_raw_material; first future parent should inspect in_profit gate failure
8,LTCUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",200,85,0,49,0,raw_add_long_high,strong_raw_material; first future parent should inspect in_profit gate failure
9,XRPUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",189,33,0,37,0,raw_add_long_high,strong_raw_material; first future parent should inspect in_profit gate failure
10,BCHUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",185,56,0,54,0,raw_add_long_high,strong_raw_material; first future parent should inspect in_profit gate failure
11,ETCUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",173,54,0,29,0,raw_add_long_high,strong_raw_material; first future parent should inspect in_profit gate failure
12,DOGEUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",168,36,0,27,0,raw_add_long_high,strong_raw_material; first future parent should inspect in_profit gate failure
13,AAVEUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",167,65,0,43,0,raw_add_long_high,strong_raw_material; first future parent should inspect in_profit gate failure
14,AVAXUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",155,37,0,27,0,raw_add_long_high,strong_raw_material; first future parent should inspect in_profit gate failure
15,NEARUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",153,56,0,42,0,raw_add_long_high,strong_raw_material; first future parent should inspect in_profit gate failure
16,ATOMUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",153,37,0,23,0,raw_add_long_high,strong_raw_material; first future parent should inspect in_profit gate failure
17,UNIUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",134,12,0,16,0,raw_add_long_moderate,moderate_raw_material; usable in basket only
18,DOTUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",122,20,0,28,0,raw_add_long_moderate,moderate_raw_material; usable in basket only
19,FILUSDT,"ranked by raw add_long_signal count, then runtime after-manage active-long add signal count",80,20,0,4,0,raw_add_long_moderate,moderate_raw_material; usable in basket only
