source_file,line_number,mechanism,path,condition,close_or_exit_action,uses_runtime_atr_distance,uses_runtime_scaled_indicator,patched_status,instrumentation_feasibility
research/strategy.py,130-132,Long TP1,long,not tp1_hit and High >= tp1,position.close(portion=partial_exit_pct); tp1_hit=True,True,False,patched via runtime_atr from _to_runtime_distance,exact strategy close event
research/strategy.py,134-135,Long TP2,long,not tp2_hit and High >= tp2,sets tp2_hit=True; no direct close,True,False,patched via runtime_atr from _to_runtime_distance,exact state marker; exit requires later stop/trend event
research/strategy.py,138-144,Long trailing stop,long,highest_since_entry - runtime_atr * active_trail_mult,feeds runner_stop then trade.sl assignment,True,False,patched via runtime_atr from _to_runtime_distance,exact assignment; stop fill is broker/proxy
research/strategy.py,151-156,Long stop assignment,long,safe_long_stop finite and > 0,trade.sl = safe_long_stop,True,False,patched via runtime_atr from _to_runtime_distance,exact assignment; stop hit inferred from closed trade
research/strategy.py,"117-123,137",Long breakeven floor,long,tp1_hit selects tp1_floor else base_stop,feeds runner_stop floor,True,False,patched via runtime_atr from _to_runtime_distance,exact assignment kind; hit is broker/proxy
research/strategy.py,148-159,Long trend_fail,long,"Close < runtime_ema50 with DI bear, or weekly/daily bull false",position.close(),False,True,patched via _to_runtime_price_level(ema50),exact strategy close event
research/strategy.py,182-184,Short TP1,short,not tp1_hit and Low <= tp1,position.close(portion=partial_exit_pct); tp1_hit=True,True,False,patched via runtime_atr from _to_runtime_distance,exact strategy close event
research/strategy.py,189-191,Short TP2,short,Low <= tp2,position.close(); last_exit_bar=i,True,False,patched via runtime_atr from _to_runtime_distance,exact strategy close event
research/strategy.py,171-172,Short trailing stop,short,lowest_since_entry + runtime_atr * trail_atr_mult,feeds runner_stop then trade.sl assignment,True,False,patched via runtime_atr from _to_runtime_distance,exact assignment; stop fill is broker/proxy
research/strategy.py,178-180,Short stop assignment,short,for every open short trade,trade.sl = runner_stop,True,False,patched via runtime_atr from _to_runtime_distance,exact assignment; stop hit inferred from closed trade
research/strategy.py,170-172,Short breakeven floor,short,tp1_hit selects avg_entry - runtime_atr * breakeven_offset_atr else base_stop,feeds runner_stop ceiling/floor selection,True,False,patched via runtime_atr from _to_runtime_distance,exact assignment kind; hit is broker/proxy
research/strategy.py,173-187,Short trend_fail,short,"Close > runtime_ema50 with DI bull, or weekly/daily bear false",position.close(); last_exit_bar=i,False,True,patched via _to_runtime_price_level(ema50),exact strategy close event
research/strategy.py,214-220,Long2 add-on entry interaction,long add-on,"position long, len(trades)<2, add_long_signal, in_profit, gap pass","buy(size=add_on_size, tag=Long2)",True,False,patched via _to_runtime_distance for add_on_profit_distance,exact gate and entry event
research/strategy.py,222-228,Short2 add-on entry interaction,short add-on,"position short, len(trades)<2, add_short_signal, in_profit, gap pass","sell(size=add_on_size, tag=Short2)",True,False,patched via _to_runtime_distance for add_on_profit_distance,exact gate and entry event
