family_id,family_name,source_reference_type,rationale,required_data,repo_likely_has_data,new_data_audit_needed,representative_frozen_candidate_concept,primary_risk,overfitting_risk,expected_failure_mode,validation_feasibility,testable_existing_4h_ohlcv,needs_funding_oi_taker_basis_trade_vendor_data,exclude_for_now
A,time_series_momentum_trend_following,academic_papers;Quantpedia;Jesse/Freqtrade examples,Capture continuation when each market has positive own-trend signal.,4h OHLCV,yes,no,Long when close > EMA100 and 20-bar return > 0; exit when close < EMA50 or ATR stop/time stop.,Whipsaw in sideways crypto regimes.,Medium if EMA/return windows are tuned.,Long-only beta and late trend entries underperform no-trade or passive BTC.,high,yes,no,no
B,cross_sectional_momentum_relative_strength,crypto momentum papers;Quantpedia,Allocate to strongest markets rather than every long signal.,4h OHLCV across same 19 markets,yes,no,"At weekly rebalance, rank 30-day return; hold top 3 positive-return markets with fixed risk until rank exits top half or stop.",Concentration in high-beta alts and crash beta.,High if rank count or lookback tuned.,"Winners reverse, BTC weak, or gains isolated to one outlier.",high,yes,no,no
C,donchian_breakout,Donchian/Turtle public references;TradingView scripts,Test clean price-channel breakout independent of failed Long1 logic.,4h OHLCV,yes,no,Long close above prior 55-bar high; stop at prior 20-bar low or 2*ATR; exit close below 20-bar low.,Late breakout chasing and false breakouts.,Medium if channel lengths tuned.,Looks like trend following and fails BTC/no-trade gates.,high,yes,no,no
D,volatility_contraction_breakout,Bollinger squeeze / volatility compression public references,"Enter only after compressed volatility expands, not during ordinary late trend.",4h OHLCV volume,yes,no,"Require BB width in lowest 20% of trailing 120 bars, then long close above upper band with volume > 20-bar median; ATR stop; exit middle band/time stop.",False squeeze breakouts and volume noise.,"High if compression percentile, lookback, and volume trigger tuned.",Too few trades or breakout failure in alts.,medium_high,yes,no,no
E,rsi_bollinger_mean_reversion,Freqtrade examples;TradingView scripts;crypto reversal papers,"Simple oversold reversion family distinct from trend continuation, but must not revive Candidate D.",4h OHLCV,yes,no,"Long close below lower BB20/2 and RSI14 < 30; exit SMA20 touch, stop 1*ATR below entry candle low, max 8 bars.",Crash regimes and repeated knife-catching.,High due prior Candidate D failure and threshold temptation.,Later-data failure or stop/time-stop domination.,high,yes,no,no_but_candidate_d_not_revived
F,intraday_momentum_reversal,intraday crypto predictability papers,Test time-of-day or recent-intraday continuation/reversal effects.,1h or lower OHLCV preferred; 4h may be too coarse,partial_BTCUSDT_1h_only_excluded_from_19_market_tests,yes_for_19_market_intraday_data,Plan-only until 1h/15m market-wide data exists; candidate would compare first-half-day move to later reversal/continuation.,Requires finer data and higher turnover costs.,High across time-of-day bins.,Data unavailable or costs dominate.,low_currently,no,needs_intraday_ohlcv_or_public_trade_data,yes_pending_data_audit
G,funding_rate_carry_or_filter,exchange education;perpetual futures research,Use funding as cost/sentiment/carry context rather than pure OHLCV.,funding history aligned to 4h,yes_audited_partial,no_for_funding_first;yes_for_extended_history_if_needed,"Plan candidate separate from failed gate: market-neutral carry if spot/perp hedge data exists, otherwise funding context filter only.","Funding edge erased by price moves, fees, borrowing, and basis risk.",High if thresholds tuned after failed funding gate.,Like funding gate: reduces losses but no positive edge.,medium,no_funding_required,funding_required;basis_for_carry,maybe_only_with_fresh_definition
H,basis_perp_spot_spread_plan_only,Deribit/OKX/Binance education;perpetual futures research,Market-neutral carry/basis family may be genuinely different from directional OHLCV paths.,"spot prices, perp prices, funding, borrow/fee assumptions, execution spread",no_basis_not_audited,yes,"Plan-only cash-and-carry/basis monitor: long spot, short perp when annualized basis/funding exceeds fixed hurdle with strict unwind rules.","Basis blowout, margin/liquidation, borrow/transfer/exchange risk.",Medium if hurdle tuned; operational assumptions dominate.,Data unavailable or net carry after frictions <= no-trade.,low_currently,no,basis_and_funding_and_spot_perp_required,yes_plan_only_pending_data_audit
I,regime_filtered_trend_strategy,trend-following research;framework examples,Permit trend entries only during predeclared market regime.,"4h OHLCV, BTC anchor metrics",yes,no,Long trend candidate only when BTC close > BTC EMA200 and BTC realized volatility below trailing 75th percentile; entry via EMA50/EMA100 trend.,Prior regime-filtered long-only already failed; filter can remove winners.,High if regime threshold tuned.,BTC boundary failure or no-trade not beaten.,high,yes,no,no_but_prior_failed_reference_only
J,pairs_market_neutral_relative_value,crypto pairs trading academic papers,Test relative-value behavior with reduced market beta.,OHLCV plus short/perp availability and borrow/funding assumptions,partial_ohlcv_only,yes_for_shortability_costs,"Plan-only or constrained: pick predeclared BTC/ETH, SOL/ETH, LINK/ETH pairs using formation window only; trade z-score spread with fixed stop.","Cointegration breaks, shorting costs, liquidity mismatch.",Very high if pair selection done after results.,Pair selection/cherry-picking or inability to execute shorts.,medium_low,partial_research_only,perp_short_costs_or_vendor_needed,yes_unless_pair_universe_predeclared
