market,path,before_trend_fail_disagreements,post_trend_fail_disagreements,post_estimated_trend_fail_evaluations,post_current_trend_fail_true_cases,post_scale_consistent_trend_fail_true_cases,notes
AAVEUSDT,long,23,0,496,10,10,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
AAVEUSDT,short,6,0,126,6,6,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
ADAUSDT,long,23,0,423,10,10,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
ADAUSDT,short,12,0,208,10,10,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
ATOMUSDT,long,11,0,253,9,9,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
ATOMUSDT,short,13,0,351,10,10,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
AVAXUSDT,long,15,0,283,7,7,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
AVAXUSDT,short,8,0,91,6,6,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
BCHUSDT,long,26,0,540,16,16,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
BCHUSDT,short,3,0,145,3,3,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
BNBUSDT,long,39,0,1017,12,12,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
BNBUSDT,short,0,0,0,0,0,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
BTCUSDT,long,46,0,979,21,21,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
BTCUSDT,short,1,0,16,1,1,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
DOGEUSDT,long,13,0,318,8,8,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
DOGEUSDT,short,11,0,256,10,10,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
DOTUSDT,long,13,0,322,9,9,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
DOTUSDT,short,23,0,402,16,16,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
ETCUSDT,long,16,0,345,7,7,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
ETCUSDT,short,8,0,137,7,7,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
ETHUSDT,long,42,0,969,23,23,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
ETHUSDT,short,1,0,27,1,1,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
FILUSDT,long,1,0,58,1,1,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
FILUSDT,short,24,0,424,19,19,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
LINKUSDT,long,27,0,607,18,18,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
LINKUSDT,short,7,0,67,4,4,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
LTCUSDT,long,28,0,523,9,9,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
LTCUSDT,short,7,0,155,7,7,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
NEARUSDT,long,15,0,413,12,12,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
NEARUSDT,short,8,0,178,7,7,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
SOLUSDT,long,21,0,625,13,13,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
SOLUSDT,short,8,0,61,6,6,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
TRXUSDT,long,40,0,994,23,23,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
TRXUSDT,short,1,0,38,1,1,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
UNIUSDT,long,8,0,171,7,7,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
UNIUSDT,short,12,0,300,13,13,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
XRPUSDT,long,18,0,355,15,15,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
XRPUSDT,short,13,0,276,8,8,"Post-patch values are lightweight management-context estimates, not trade performance metrics."
