item,judgment
grouping_judgment,can_group_descriptively_but_keep_components_labeled
reason,"mixed_chop and weak_followthrough can be grouped as unresolved_non_clean for a high-level ledger, but component behavior remains different: mixed_chop has non-favorable return with better MFE-MAE, while weak_followthrough has favorable return but adverse-dominant excursion quality. Keep component labels in analysis."
executed_mixed_vs_weak_path_delta,"mixed-minus-weak return -0.041879, MFE 1.206643, MAE -1.361965, MFE-MAE 2.568607"
starter_mixed_vs_weak_path_delta,"mixed-minus-weak return -0.042604, MFE 1.005580, MAE -1.761560, MFE-MAE 2.767140"
unresolved_vs_clean,"executed unresolved-minus-clean return -0.048356, MFE-MAE -3.731038; starter return -0.049601, MFE-MAE -4.302268"
unresolved_vs_adverse,"executed unresolved-minus-adverse return 0.080410, MFE-MAE 5.835160; starter return 0.071049, MFE-MAE 3.673713"
executed_affinity_counts,"{'mixed_chop': 5, 'adverse_dominant': 3, 'weak_followthrough': 1, 'clean_followthrough': 1, 'sample_too_small_no_unresolved_non_clean': 1}"
starter_affinity_counts,"{'mixed_chop': 4, 'weak_followthrough': 4, 'adverse_dominant': 2, 'clean_followthrough': 1}"
parent_boundary,Keep current parent: below-EMA20 displacement mainly protects against adverse-dominant failure. Do not expand parent to weak/mixed.
implementation_readiness,Not implementation-ready.
