label,meaning,required_evidence,allowed_next_step,forbidden_next_step,notes
feasible_4h_only,Only CP1 succeeded for one complete 4h BTC bucket,CP1 has 100% fields clean side semantics no conflicts no gaps and one complete bucket,Plan CP2 with explicit approval,Any strategy validation or broader fetch,Does not prove 1-day feasibility
feasible_1day_only,CP2 succeeded but longer sustained audit remains unproven,CP1 and CP2 clean with complete one-day buckets,Plan CP3 with explicit approval,30-day fetch or all-19 expansion,Short-horizon feasibility only
feasible_7day_only,CP3 succeeded but 30-day burden remains unproven,CP1 CP2 CP3 clean with 100% 7-day bucket completeness,Plan CP4 with explicit approval,All-19 expansion or strategy testing,Still not enough for broader research validation
feasible_30day_two_market,CP4 succeeded for BTC and DOGE only,CP1 through CP4 clean with 100% two-market 30-day bucket completeness,Consider a separate two-market data study plan,All-19 fetch without new approval; strategy readiness claim,Two-market feasibility only
feasible_30day_expandable_with_caution,CP4 succeeded and all-19 projection is under expansion thresholds,CP4 100% complete and projected all-19 30d raw storage <300 GB with acceptable rate-limit risk,Create all-19 expansion audit plan with explicit approval,Immediate all-19 fetch or strategy validation,Recommendation only
infeasible_due_pagination,Pagination cannot prove requested windows without unexplained gaps,Unresolved cursor gap or unstable pagination inside target window,Stop or investigate external data audit,Feature reconstruction from incomplete windows,Hard data-quality block
infeasible_due_rate_limit,Request burden or throttling exceeds checkpoint budget,Rate-limit errors or request count beyond budget,Stop or redesign with smaller scope/external source,Continue checkpoint by bypassing limits,Protects API and data quality
infeasible_due_gap_quality,Missing/incomplete buckets cannot be resolved,Any unresolved incomplete bucket before advancement,Stop and report gap reasons,Forward-fill or infer missing trade flow,No fake data
infeasible_due_storage_runtime,Storage or runtime exceeds checkpoint budget,Budget breach for raw archive processed output or wall-clock runtime,Stop and evaluate vendor/external data,Continue full backfill,Avoid runaway local archive
not_recommended,Feasibility may be technically possible but burden/risk is not justified,High complexity or opportunity cost relative to research value,Keep benchmark-only monitoring or external data audit,Strategy implementation path,Default conservative label
