source_name,source_family,expected_data_categories,priority,reason_for_review,known_uncertainties,review_owner,notes
OKX official historical/download/data products,exchange_official,raw trades; OI; funding; mark/index; basis if available,high,Official exchange source could provide strongest provenance if exact historical files/products exist,"Exact historical download availability, licensing, and rate/storage limits unknown",human_manual_reviewer,Do not use REST/API in this review; docs/pricing only
OKX REST/docs beyond current route,exchange_official_rest,raw trades; OI snapshots/history; funding; premium/index; mark price,medium,Clarifies whether any official endpoint solves CP1/OI limitations,Current routes failed CP1 full bucket and exact historical OI proof,human_manual_reviewer,Docs-only review; no requests
Tardis.dev,paid_vendor_or_dataset,raw trades; order book; derivatives tick data,high,Potential file/dataset style source for exact exchange trades,"OKX swap coverage, taker side semantics, license, pricing, and sample access need manual proof",human_manual_reviewer,Prioritize raw/provenance clarity
Kaiko,paid_vendor,raw trades; order book; derivatives market data; possible funding/OI,high,Likely strong institutional data dictionary/provenance candidate,"Cost, archive rights, exact OKX swap support, and taker side definitions unknown",human_manual_reviewer,Manual docs/pricing only
Amberdata,paid_vendor,derivatives; raw trades; OI; funding; liquidations possible,high,Potential broad derivatives source for instrument-level data,"Exact OKX instId support, OI granularity, license, and sample access unknown",human_manual_reviewer,Strong candidate if instrument-level fields are clear
CoinAPI,paid_vendor,raw trades; quotes; market data; possible derivatives,medium,Potential API/file access for exchange trades,Exact OKX swap support and pricing/sample details uncertain,human_manual_reviewer,Do not call API
Coin Metrics,vendor_or_community_paid,market data; trades; funding; OI possible,medium,May offer strong data dictionary and reproducible datasets,OKX swap exact support and derivatives field coverage uncertain,human_manual_reviewer,Manual review required
CryptoCompare,vendor_or_data_api,trades; OHLCV; derivatives context possible,medium_low,Could offer market data API but exact OKX swap support is uncertain,Derivatives exact instId and taker side semantics unknown,human_manual_reviewer,Deprioritize unless docs prove exact swap support
Coinglass,vendor_web_api,OI; funding; long/short; liquidations,medium,Potential derivatives context source,May be aggregate/dashboard-oriented; exact instId/archive rights uncertain,human_manual_reviewer,Useful only if raw/exportable exact instrument data is proven
VeloData,paid_vendor,funding; basis; OI; liquidations; derivatives context,medium_high,Potential derivatives basis/funding/OI source,"Exact OKX instrument support, data dictionary, archive rights, and pricing unknown",human_manual_reviewer,Prioritize for basis/funding/OI context
Laevitas,paid_vendor,derivatives; OI; funding; basis; options context,medium,Potential derivatives analytics source,Exact OKX swap support and raw archive permissions uncertain,human_manual_reviewer,May be stronger for derivatives context than raw trades
Glassnode,paid_vendor,onchain; derivatives context possible,low,Included for completeness from source matrix,May not provide exact exchange raw trades/OI needed here,human_manual_reviewer,Deprioritize unless docs prove exact instrument data
The Tie,paid_vendor,sentiment; market data; derivatives possible,low,Included for completeness from source matrix,Likely not first choice for exact exchange trades unless documentation proves coverage,human_manual_reviewer,Deprioritize
AWS/GCP/BigQuery public datasets,public_cloud_dataset,public datasets; raw trades if listed; market data tables,medium,Could provide reproducible raw tables or files if datasets exist,"Dataset availability, licensing, cloud cost, and OKX swap coverage unknown",human_manual_reviewer,No cloud query in this plan
