market,okx_inst_id,historical_sampling_interval,can_align_to_4h_same_prior,resampling_needed,leakage_risk,forward_fill_default,missing_too_frequent,alignment_decision
AAVEUSDT,AAVE-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
ADAUSDT,ADA-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
ATOMUSDT,ATOM-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
AVAXUSDT,AVAX-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
BCHUSDT,BCH-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
BNBUSDT,BNB-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
BTCUSDT,BTC-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
DOGEUSDT,DOGE-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
DOTUSDT,DOT-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
ETCUSDT,ETC-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
ETHUSDT,ETH-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
FILUSDT,FIL-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
LINKUSDT,LINK-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
LTCUSDT,LTC-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
NEARUSDT,NEAR-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
SOLUSDT,SOL-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
TRXUSDT,TRX-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
UNIUSDT,UNI-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
XRPUSDT,XRP-USDT-SWAP,60m,True,yes_1h_to_4h_if_used_as_aggregate_context,low if same/prior timestamps only; high if treated as exact instrument without proof,no,False,alignable_as_1h_aggregate_context_only_not_exact_instrument
