feature_class,description,prior_failure_addressed,required_data_source,availability_risk,implementation_difficulty,overfitting_risk,can_validate_without_live_trading,minimum_validation_gate,selected_for_next_planning,reason_for_selection
open_interest,"Contract open interest level, change, and divergence versus price/volume for BTC and same 19-market universe where available.",OHLCV-only rules could not distinguish real positioning build-up from noisy price/volume movement; may help identify crowded or confirming moves before trend/reversal rules fire.,OKX public open interest history if available through exchange API/ccxt or archived data vendor; symbol-level 4h-aligned derivatives OI.,medium,medium,medium,yes,"Predeclared OI formula, no OHLCV-only fallback, same 19-market visibility where applicable, no-trade comparison, BTCUSDT visible, later-data or strict holdout confirmation, PF >= 1.10 minimum, aggregate positive after fees.",yes,"High crypto-market relevance, materially independent from failed OHLCV-only rules, and plausibly auditable from public derivatives data."
funding_rate,Perpetual funding rate level/change/extremes as a positioning/crowding feature.,Historical OHLCV signals repeatedly failed transfer and BTC boundary gates; funding can flag crowded long/short conditions not visible in candles alone.,"OKX public funding-rate history or exchange/vendor archive, aligned to 4h candles for the approved markets where perpetuals exist.",medium,low_medium,medium,yes,"Predeclared funding extreme/normalization rule, no threshold sweep, same validation split or later-data segment, no-trade comparison, BTCUSDT boundary, family/market concentration checks.",yes,"Directly measures derivatives crowding, can be used as filter/condition without changing production behavior, and is separate from prior OHLCV-only feature family."
liquidation_or_long_short_squeeze_proxy,"Actual liquidation prints, long/short ratio, or squeeze proxy rather than OHLCV wick approximation.","K_liquidation_wick_bounce was the best near-miss but used only wick/volume approximation and failed BTC, concentration, and later-data gates.","Exchange liquidation feed/history, long-short account/position ratios, or reputable derivatives data vendor; 4h aggregation required.",high,high,high,yes_if_historical_data_available,"Data availability audit first; if available, frozen squeeze definition, no wick-only substitution, no threshold sweep, later-data validation mandatory.",no,"Conceptually relevant to the K near-miss, but data availability and overfitting risk are too high before an audit."
taker_buy_sell_volume,Aggressive buyer/seller imbalance or taker buy ratio aligned to 4h candles.,OHLCV volume alone could not distinguish passive turnover from aggressive order-flow pressure.,Exchange trade/taker volume history if available from OKX or vendor; 4h aggregation per market.,high,high,medium_high,yes_if_historical_data_available,"Data audit, fixed imbalance formula, no intrabar lookahead, no market removal, no-trade and passive BTC comparisons.",no,"Useful if available, but historical taker-side data may be costly or incomplete."
volume_expansion_abnormal_turnover,Abnormal turnover/volume expansion normalized by market and volatility regime.,"May help separate meaningful participation from weak OHLCV signals, but prior OHLCV-only volume/wick concepts already failed promotion.",Local OHLCV can provide base volume; richer turnover would require quote volume or exchange turnover fields.,low_medium,low,medium_high,yes,Must be paired with genuinely new data or predeclared normalization; cannot be another immediate OHLCV-only batch; later-data check required.,no,Availability is good but independence from failed OHLCV-only candidates is weak.
btc_or_alt_dominance,"BTC dominance, alt dominance, or market-share regime data to decide whether basket/alt strategies should be active.",Autonomous loop could not execute BTC dominance filter because data was missing; may address alt/basket regime mismatch.,"External market-cap/dominance source such as CoinMarketCap/CoinGecko/TradingView-compatible historical dominance, with timestamp alignment.",medium_high,medium,medium_high,yes_if_historical_data_available,"Data provenance audit, fixed dominance regime rule, no post-result symbol selection, no-trade comparison, basket breadth checks.",no,Potentially useful but requires external data governance before strategy planning.
stablecoin_dominance_or_liquidity_proxy,"Stablecoin dominance, stablecoin supply/liquidity proxy, or risk-liquidity regime indicator.",May explain broad risk-on/risk-off conditions that BTC EMA regime failed to capture.,"External stablecoin market-cap/dominance history, exchange liquidity proxy, or macro crypto liquidity dataset.",high,medium_high,medium_high,yes_if_historical_data_available,"Predeclared liquidity regime rule, long historical coverage, no post-result regime relabeling, no-trade and passive BTC comparisons.",no,"Interesting macro feature, but data sourcing and interpretation risk are higher than funding/OI."
cross_market_relative_strength,"Breadth/rotation features across BTC, majors, alts, and families rather than single-symbol signals.",Weak-market drag and family concentration problems.,Existing OHLCV can compute basic RS; richer breadth may require broader universe beyond 19 symbols.,low_medium,medium,high,yes,"Must avoid selecting winners post-result; fixed family/breadth formula, no market removal, BTCUSDT/DOGE/DOT/UNI visible, later-data check.",no,A relative-strength candidate already failed in the autonomous loop; another RS-only path is not sufficiently new without broader data.
volatility_regime_classifier,"Classifier for compression, expansion, crash, chop, and rebound regimes.",Failed transfer across historical and later windows suggests regime mismatch.,"Can start from OHLCV, but stronger version should include OI/funding/liquidation/liquidity features.",low_if_ohlcv_only_medium_if_multifeature,medium_high,high,yes,Must freeze labels/formula before testing; cannot tune regimes after results; must compare no-trade and passive BTC; later-data required.,no,A pure OHLCV regime filter failed; worthwhile only after new data classes are available.
event_news_exclusion_filter,"Calendar/news risk filter to block trading around major macro, exchange, regulatory, or asset-specific events.","Crash/regime failures, stop clusters, and transfer failures may be event-driven rather than technical-pattern driven.","Historical economic calendar, crypto event/news feed, exchange incident calendar, regulatory/news taxonomy; timestamps and severity labels.",high,high,high,yes_if_historical_event_labels_available,"Strict predeclared event taxonomy, no hindsight labeling, no removing losing periods after seeing results, no-trade comparison, later-data/forward observation.",no,"Potentially valuable as risk control, but high hindsight-labeling risk means it should not be first."
