candidate,entry_rule,exit_rule,stop_rule,sizing_convention,market_scope,btc_relevant,direction
A_no_trade_control,No entries.,No exits.,No stop.,1000 USDT fixed notional with 5 bps per side unless benchmark/control,All markets observed; no trades.,yes,none
B_passive_btc_buy_hold_benchmark,Buy BTCUSDT first evaluation close.,Hold to last evaluation close.,No stop.,1000 USDT fixed notional with 5 bps per side unless benchmark/control,BTCUSDT only.,yes,long_benchmark
C_volatility_compression_breakout_v2,ATR14 <= q25/120; BB width <= q30/120; close > prior20 high and EMA50.,"2R target, close < EMA20, or 12 bars.",entry - 1.5 ATR14.,1000 USDT fixed notional with 5 bps per side unless benchmark/control,All 19 markets.,yes,long
D_volatility_expansion_continuation,ATR14/mean120 >=1.25; close > prior15 high and EMA100; EMA20 > EMA50; RSI14 50-72.,"2R target, close < EMA20, or 10 bars.",entry - 1.3 ATR14.,1000 USDT fixed notional with 5 bps per side unless benchmark/control,All 19 markets.,yes,long
E_true_mean_reversion_v2,RSI2 <= 8; close < lower BB20; close > open and previous close.,"1.2R target, SMA20 touch, RSI14 > 50, or 6 bars.",prior5 low - 0.5 ATR14.,1000 USDT fixed notional with 5 bps per side unless benchmark/control,All 19 markets.,yes,long
F_relative_strength_rotation,Alt/BTC RS EMA20 > EMA60; RS slope12 > 0; alt close > EMA50 and prior10 high; BTC > EMA100.,"2R target, alt close < EMA20, RS cross down, or 12 bars.",entry - 1.5 ATR14.,1000 USDT fixed notional with 5 bps per side unless benchmark/control,18 non-BTC markets; DOGE/DOT/UNI visible.,yes,long_alt_only
G_btc_dominance_alt_filter,Requires BTC dominance trend unavailable locally.,Dominance reversal or fixed risk exit.,ATR stop.,1000 USDT fixed notional with 5 bps per side unless benchmark/control,Non-BTC alts.,yes,long_alt_only
H_market_family_framework_v2,Majors use D; large_alts use E; defi use K; meme/high-beta and other no-trade.,Inherited family rule.,Inherited family rule.,1000 USDT fixed notional with 5 bps per side unless benchmark/control,All markets visible; some families predeclared no-trade.,yes,mixed_long
I_defensive_short_only,"BTC/ETH close < prior20 low, < EMA100; EMA20 < EMA50; ATR14/mean120 >=1.15.","2R target, close > EMA20, or 12 bars.",entry + 1.5 ATR14.,1000 USDT fixed notional with 5 bps per side unless benchmark/control,BTCUSDT and ETHUSDT only.,yes,short
J_long_short_regime_switch,Risk-on permits D long; risk-off permits defensive short on majors/large_alts.,Inherited subrule; no forced regime exit.,Inherited subrule.,1000 USDT fixed notional with 5 bps per side unless benchmark/control,All markets visible; shorts majors/large_alts.,yes,long_short
K_liquidation_wick_bounce,Lower wick >=1.5 body and >=0.5 ATR14; close > open; volume > median50; RSI14 < 40.,"1.5R target, EMA20 touch, or 8 bars.",signal low - 0.25 ATR14.,1000 USDT fixed notional with 5 bps per side unless benchmark/control,All 19 markets.,yes,long
L_breakout_failure_reversal,Previous candle broke prior20 high; current close back below breakout level and previous close; RSI14 >55.,"1.5R target, close > EMA20, or 8 bars.",current high + 0.5 ATR14.,1000 USDT fixed notional with 5 bps per side unless benchmark/control,All 19 markets.,yes,short
