threshold_name,applies_to_checkpoint,stop_condition,go_condition,measurement_method,notes
required_fields_100pct,CP1;CP2;CP3;CP4,Any parsed row missing instId tradeId ts px sz or side,100% of parsed rows contain instId tradeId ts px sz and side,Field coverage count by required field divided by parsed rows,Hard gate before feature computation
side_semantics_documented,CP1;CP2;CP3;CP4,OKX side semantics become uncertain or no longer documented as taker/aggressor side,Documentation remains available and records side as trade side of taker/aggressor,Record documentation reference or local proof note at execution time,Do not infer taker side from intuition
conflicting_duplicate_hard_stop,CP1;CP2;CP3;CP4,Any same instId+tradeId has conflicting ts px sz or side,Zero conflicting duplicates,Group by instId+tradeId and compare payload fields,Quarantine conflicts and stop checkpoint
benign_duplicate_rate,CP1;CP2;CP3;CP4,Benign duplicate rate after pagination and retries is >1.0% of raw rows,Benign duplicate rate <=1.0% of raw rows,duplicate_count / raw_rows after retries,Benign means identical duplicate payloads only
missing_incomplete_buckets,CP1;CP2;CP3;CP4,Any unresolved missing or incomplete bucket before advancing,0 unresolved missing or incomplete buckets,Bucket completeness table with reason codes,Hard gate for stage advancement
pagination_gap_risk,CP1;CP2;CP3;CP4,Any unexplained cursor gap inside requested time window,No unexplained cursor gaps inside requested window,Cursor continuity and timestamp coverage audit,Known endpoint boundary gaps must be explicitly bounded
retry_budget,CP1;CP2;CP3;CP4,More than 3 retries needed for a failed request or unresolved request failure inside target window,Max 3 retries per failed request and all target-window requests resolved,Request log retry_count and response status,Unresolved failure stops checkpoint
cp1_budget,CP1,Requests >2500 or runtime >45 minutes or raw archive >500 MB,Requests <=2500 runtime <=45 minutes raw archive <=500 MB,Fetch log request count wall-clock runtime raw archive size,Applies to 4h BTC pilot
cp2_budget,CP2,Requests >20000 or runtime >6 hours or raw archive >4 GB,Requests <=20000 runtime <=6 hours raw archive <=4 GB,Fetch log request count wall-clock runtime raw archive size,Applies to 1-day pilot
cp3_budget,CP3,Requests >150000 or runtime >36 hours or raw archive >25 GB,Requests <=150000 runtime <=36 hours raw archive <=25 GB,Fetch log request count wall-clock runtime raw archive size,Applies to 7-day audit
cp4_budget,CP4,Requests >500000 or runtime >5 days or raw archive >75 GB or processed output >10 GB,Requests <=500000 runtime <=5 days raw archive <=75 GB processed output <=10 GB,Fetch log request count wall-clock runtime raw and processed sizes,Applies to 30-day two-market audit
all19_expansion_rule,CP4,CP4 bucket completeness <100% or projected all-19 30d raw storage >=300 GB or rate-limit risk unacceptable,CP4 100% bucket completeness and projected all-19 30d raw storage <300 GB and acceptable rate-limit risk,Projection from CP4 rows requests storage per instrument,Recommendation only; does not authorize all-19 fetch
